ax,ay,az,gx,gy,gz,label
0.6305,2.2482,3.2491,192.01,175.14,-11.55,A
0.6295,1.9481,2.3073,-15.26,302.33,-115.71,A
0.5817,1.3864,1.3171,-47.46,296.87,-142.8,A
0.3953,1.1492,1.7021,20.58,207.13,-138.32,A
0.7954,0.9716,1.2029,-190.47,416.57,-261.31,A
0.4656,0.7549,0.8467,-218.47,384.3,-216.02,A
-0.3577,-0.2362,-0.9423,41.72,-45.43,-13.09,A
0.3055,-0.0761,-0.2054,-17.71,-495.74,99.05,A
0.8965,0.5061,0.893,106.26,-662.13,91.0,A
0.8184,1.7251,1.9662,104.72,-626.15,-77.49,A
1.2302,-0.3465,1.8622,313.11,-452.69,-51.59,A
0.9911,0.8013,2.503,265.86,-86.38,-40.95,A
0.9575,0.4387,1.8637,-10.99,181.86,9.03,A
-0.6754,1.7158,0.0981,-26.88,-19.88,-17.71,A
-0.3167,2.0042,0.5163,-51.94,-162.54,-204.89,A
0.0434,1.4664,0.8369,11.48,-152.74,-318.22,A
0.3714,0.6403,1.0053,43.26,-151.27,-416.22,A
0.6393,-0.5441,1.5387,89.11,-151.41,-392.21,A
0.6149,-1.3659,2.0872,153.37,-139.51,-312.06,A
0.5246,-1.0072,1.9832,180.18,31.71,-1.61,A
0.1649,-0.1191,1.1995,73.36,67.06,76.72,A
-0.1108,0.1283,0.5007,-70.84,68.32,66.99,A
-0.161,0.7364,0.9999,40.53,-16.94,97.79,A
-0.407,-0.2064,0.264,-42.28,240.59,-76.02,A
-0.4441,-0.4421,-0.3728,-113.54,-184.8,97.93,A
-0.3065,-0.5427,-1.4679,-150.22,-335.44,83.02,A
0.3123,-0.6168,-1.6455,-49.35,-555.52,34.16,A
1.3034,-0.5251,-0.5456,110.39,-845.53,165.34,A
1.8139,-0.0488,0.205,289.24,-813.75,300.37,A
1.4791,0.8745,1.1917,109.41,-756.0,263.27,A
1.4274,0.5695,1.6319,74.06,-736.82,223.37,A
1.5006,0.6012,2.6869,159.53,-677.32,278.95,A
1.1161,0.8403,2.1662,86.38,-196.84,143.36,A
1.1292,0.2786,1.283,-101.85,596.82,-327.46,A
0.9252,0.0595,0.5656,-159.81,620.2,-271.39,A
0.4582,-0.1571,-0.0112,-136.92,499.66,-193.41,A
0.0498,-0.3626,-0.2455,-20.79,371.98,-131.04,A
-0.6559,0.0654,-0.5924,-33.6,70.42,-53.13,A
-0.3919,-0.0337,-1.4796,-16.31,-273.21,-13.16,A
0.3572,-0.2538,-1.5523,32.13,-422.8,19.81,A
0.7881,-0.4529,-1.0111,69.09,-599.13,23.38,A
1.0487,0.102,0.1737,239.54,-825.16,43.75,A
1.4254,0.6593,1.1244,214.55,-821.94,107.87,A
0.8394,0.7959,2.0838,116.97,-818.09,174.02,A
0.6715,0.8974,2.927,157.22,-748.09,107.94,A
0.854,0.486,2.6411,202.23,-502.81,30.66,A
0.7603,0.2152,2.1657,202.86,-182.0,13.23,A
0.8891,-0.5358,1.079,266.56,75.04,-11.34,A
0.9204,0.0654,1.4489,202.44,105.35,94.92,A
0.3699,0.671,1.4211,331.87,159.46,-77.49,A
0.6549,1.0258,2.1755,49.7,231.21,-49.7,A
0.8735,0.507,1.1068,-94.22,437.29,-5.95,A
0.6778,0.3514,0.2835,-151.83,414.54,27.93,A
-0.08,0.834,0.0839,-176.19,158.13,123.27,A
-0.4738,1.2586,-0.1035,-155.19,48.02,125.09,A
-0.6295,2.0594,0.2582,-85.4,-128.03,-8.33,A
-0.5231,2.2863,0.9794,11.55,-180.25,-159.6,A
-0.08,1.8583,1.5362,52.36,-134.61,-310.31,A
0.2694,1.3318,1.4874,3.36,-49.63,-363.44,A
0.4319,0.4226,1.0268,-63.98,-28.21,-376.25,A
0.4821,-0.4821,0.9731,-54.6,-25.55,-335.37,A
0.1932,-0.7793,1.037,138.25,-28.42,13.86,A
-0.2113,0.1454,0.8442,-58.94,21.21,66.08,A
-0.081,1.0326,1.9676,28.35,136.78,-59.85,A
0.1444,0.224,0.6178,-132.93,426.79,-222.32,A
-0.0229,-0.1454,0.1791,-133.21,369.39,-193.76,A
-0.0415,-0.4743,-0.7183,43.75,-369.67,166.18,A
0.795,0.02,-0.2977,226.24,-656.74,256.97,A
1.222,0.3172,0.5085,252.0,-688.38,360.43,A
0.6354,0.8203,1.1844,133.42,-630.35,191.66,A
1.0443,0.6934,1.8276,126.91,-642.88,241.29,A
1.1629,0.8921,2.4825,264.46,-455.91,214.83,A
0.7237,1.5138,2.6245,302.12,-184.73,163.45,A
0.711,1.5172,1.8276,-92.47,435.89,-313.04,A
0.8506,0.3748,0.8389,-178.57,522.62,-272.86,A
0.3626,0.427,0.692,-157.29,464.24,-221.48,A
