Ax,Ay,Az,Gx,Gy,Gz,Label
-0.3338,-0.0195,0.8682,-25.76,-15.26,-9.03,A
-0.2913,-0.0444,0.9028,-12.04,-31.36,-8.05,A
-0.2552,-0.0449,0.9809,-8.82,-24.92,-3.36,A
-0.2094,-0.0361,1.2424,0.35,0.49,-3.36,A
-0.2357,0.0249,1.1322,-11.06,26.67,-3.15,A
-0.2533,-0.0376,0.9819,-15.61,26.25,-3.15,A
-0.2782,-0.0244,0.9823,1.4,15.05,8.12,A
-0.286,0.042,0.9926,18.9,13.79,8.19,A
-0.3143,0.0737,0.9531,16.59,11.55,3.5,A
-0.3216,0.1039,0.9536,12.11,11.48,-0.42,A
-0.2943,0.0454,1.0326,8.75,12.6,-1.26,A
-0.3118,0.1035,0.9789,3.64,13.58,1.26,A
-0.3133,0.1269,1.0331,6.23,7.35,-8.68,A
-0.2816,0.0444,1.157,6.09,24.43,-15.12,A
-0.3065,-0.0005,0.9745,-5.46,29.82,-20.37,A
-0.3065,-0.1088,0.9135,-0.28,19.74,-10.57,A
-0.2918,-0.1186,0.9926,12.95,16.87,3.01,A
-0.3089,-0.062,0.9911,13.65,18.76,7.84,A
-0.3045,-0.0137,1.0946,14.35,33.81,9.59,A
-0.3323,0.0278,0.9726,-1.33,43.89,7.98,A
-0.3982,0.1459,0.8555,-8.19,36.82,5.11,A
-0.4216,0.1547,0.8057,-17.43,20.51,-10.36,A
-0.4021,0.0278,0.813,-24.99,10.08,-20.37,A
-0.3753,-0.1244,0.8218,-21.21,5.32,-14.28,A
-0.3406,-0.164,0.9784,-6.37,3.64,0.98,A
-0.3328,-0.0917,1.0668,0.63,14.7,10.99,A
-0.368,0.0229,1.0233,-0.7,20.65,11.06,A
-0.3933,0.1083,0.8613,-5.04,14.35,5.81,A
-0.4494,0.1288,0.8062,-9.66,0.21,1.68,A
-0.4758,0.1137,0.8325,-11.48,-14.0,-13.58,A
-0.4055,0.0468,0.9867,-12.46,-10.22,-21.42,A
-0.3826,0.0054,1.0136,-20.93,-3.85,-23.24,A
-0.3826,-0.042,0.9814,-27.3,-5.88,-23.94,A
-0.3558,-0.1259,0.9672,-22.47,-0.7,-14.84,A
-0.3723,-0.1405,0.8789,-10.36,-6.72,-3.01,A
-0.3845,-0.1161,0.8496,4.27,-12.6,2.73,A
-0.3802,-0.0971,0.9575,13.93,-19.95,8.05,A
-0.3206,-0.0703,1.1483,18.2,2.87,9.59,A
-0.3636,-0.0122,0.9784,-1.61,12.74,8.26,A
-0.3714,-0.0376,1.0116,1.19,5.25,7.07,A
-0.3597,-0.0551,1.015,3.64,11.9,12.6,A
-0.4002,0.0034,0.8804,5.95,3.43,8.82,A
-0.408,-0.0083,0.8237,6.16,-13.23,3.99,A
-0.3884,-0.0566,0.8603,9.24,-23.03,6.51,A
-0.3592,-0.0683,0.9667,15.26,-24.57,13.23,A
-0.3567,-0.0268,0.9892,14.0,-20.09,16.52,A
-0.3616,0.0415,1.0419,19.18,-12.74,15.82,A
-0.3372,0.0517,1.1678,19.74,1.68,10.08,A
-0.3543,0.0654,1.0677,10.57,15.75,4.27,A
-0.3802,0.0376,0.934,6.72,9.87,-1.12,A
-0.3894,-0.0142,0.9043,6.02,0.35,-0.98,A
-0.3865,-0.0581,0.8682,7.28,-5.6,1.75,A
-0.3909,-0.0561,0.8481,7.49,-18.06,6.23,A
-0.3748,-0.0351,0.9194,11.76,-21.98,10.71,A
-0.3489,0.0166,1.1326,16.31,-14.07,11.48,A
-0.3616,0.0937,1.0795,5.04,9.17,5.11,A
-0.3977,0.1069,0.954,-4.55,8.47,-4.83,A
-0.3977,0.02,0.893,-5.6,1.12,-7.7,A
-0.3909,-0.063,0.832,-1.26,-1.96,-5.53,A
-0.3802,-0.0703,0.8545,5.11,-10.01,0.84,A
-0.3723,-0.0278,0.9018,6.23,-13.86,5.32,A
-0.3533,0.0054,0.9916,5.25,-11.69,5.18,A
-0.3416,0.0156,1.0838,3.57,-0.21,2.38,A
-0.3518,0.0171,1.0463,-0.07,8.54,0.35,A
-0.3738,0.002,0.9496,0.35,6.79,0.07,A
-0.3841,-0.0161,0.9018,3.29,-0.91,0.42,A
-0.388,-0.0249,0.8999,7.28,-10.29,2.31,A
-0.3587,-0.0254,1.0541,13.72,-8.61,5.18,A
-0.3587,0.0215,1.0311,6.79,3.57,6.09,A
-0.3772,0.0454,0.9902,1.47,5.18,3.36,A
-0.3845,0.0205,0.9292,0.42,2.45,2.66,A
-0.3894,0.0088,0.9087,4.62,-0.21,2.66,A
-0.3928,0.0015,0.8696,5.32,-5.25,2.45,A
-0.3865,-0.0171,0.8716,5.04,-12.67,3.22,A
-0.3767,-0.0122,0.935,5.11,-14.84,6.79,A
-0.3587,0.0581,1.0365,9.45,-1.68,7.56,A
-0.3889,0.0932,0.9453,-2.94,-1.12,-0.28,A
-0.3601,0.0307,1.0687,3.92,0.91,-4.2,A
-0.3626,-0.0205,0.9701,-0.91,7.91,-1.89,A
-0.3816,-0.0185,0.9145,2.17,1.19,0.56,A
-0.3836,-0.02,0.8867,3.29,-8.19,4.41,A
-0.3777,0.0034,0.9126,5.95,-15.75,4.13,A
-0.3587,-0.0015,1.0067,8.19,-14.14,4.69,A
-0.3494,0.0327,1.0629,10.71,0.56,7.21,A
-0.3709,0.0844,1.0307,6.09,0.84,2.87,A
-0.3709,0.0712,0.998,5.25,3.57,-1.68,A
-0.3802,0.0327,0.9248,2.03,3.43,-3.92,A
-0.386,0.0015,0.8594,2.31,-4.06,-2.94,A
-0.3772,-0.0181,0.8628,5.39,-12.53,0.42,A
-0.3665,-0.001,0.9428,8.47,-17.85,3.71,A
-0.3353,0.0346,1.1136,12.25,-0.07,4.41,A
-0.3684,0.0732,1.0146,-0.21,6.86,-1.68,A
-0.3782,0.04,0.9804,0.0,5.11,-2.66,A
-0.3772,0.0024,0.9809,0.14,11.06,-2.17,A
-0.3875,-0.0122,0.895,-4.13,7.77,-0.98,A
-0.3875,-0.0156,0.9023,2.87,-1.19,2.87,A
-0.3831,0.123,0.9033,3.29,-5.18,3.99,A
-0.3884,0.0132,0.9043,0.77,-9.1,2.52,A
-0.366,0.0166,1.039,6.23,-3.78,4.83,A
-0.368,0.0522,1.0429,2.59,9.45,2.38,A
-0.3943,0.0771,0.935,-2.17,7.42,-3.01,A
-0.3904,0.0229,0.9008,-1.26,-1.61,-5.04,A
-0.3748,-0.0298,0.9048,2.8,-5.11,-2.31,A
-0.3826,-0.0137,0.8745,4.06,-13.51,1.26,A
-0.3772,0.0068,0.9267,5.88,-19.95,2.52,A
-0.3611,-0.0029,0.9906,5.25,-14.28,2.73,A
-0.367,0.0176,0.9789,4.27,-8.4,4.06,A
-0.3816,0.0293,0.9272,4.34,-10.92,4.27,A
-0.3723,0.0137,0.9848,5.53,-14.49,4.06,A
-0.3611,0.0278,1.0253,9.17,-4.2,5.6,A
-0.3787,0.0771,0.9765,6.79,-5.74,3.15,A
-0.3758,0.0673,0.9672,6.51,-9.45,0.98,A
-0.3733,0.0488,0.9355,2.03,-13.86,0.42,A
-0.3587,0.0083,0.9936,6.09,-8.68,1.05,A
-0.3621,0.059,0.9843,7.98,0.35,3.92,A
-0.3767,0.0917,0.9496,5.6,-1.96,-1.19,A
-0.3645,0.0688,0.954,1.96,-5.88,-4.13,A
-0.3528,0.0127,1.0277,1.26,-8.82,-4.13,A
-0.3289,-0.0005,1.0731,5.67,8.47,-1.96,A
-0.3577,0.0556,0.9809,0.42,10.08,-4.48,A
-0.3611,0.021,0.9355,0.0,0.63,-6.79,A
-0.3582,-0.0254,0.9101,-0.42,-5.39,-4.9,A
-0.3587,-0.0561,0.9365,1.33,-7.35,-0.49,A
-0.3543,-0.0254,0.9511,4.9,2.52,4.2,A
-0.3787,0.0473,0.9028,1.68,-4.34,4.55,A
-0.3797,0.0566,0.9365,4.48,-11.34,3.64,A
